训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.7603 acc 0.0074 | val 头内Δacc +0.0068 **全局Δacc +0.0142** | alpha 0.9990
  ep1 train loss 0.7587 acc 0.0046 | val 头内Δacc +0.0040 **全局Δacc +0.0105** | alpha 0.9990
  ep2 train loss 0.7587 acc 0.0036 | val 头内Δacc +0.0026 **全局Δacc +0.0117** | alpha 0.9990
  ep3 train loss 0.7579 acc 0.0042 | val 头内Δacc +0.0048 **全局Δacc +0.0102** | alpha 0.9990
  ep4 train loss 0.7562 acc 0.0057 | val 头内Δacc +0.0063 **全局Δacc +0.0113** | alpha 0.9990
  ep5 train loss 0.7545 acc 0.0072 | val 头内Δacc +0.0077 **全局Δacc +0.0105** | alpha 0.9990
  ep6 train loss 0.7506 acc 0.0078 | val 头内Δacc +0.0056 **全局Δacc +0.0105** | alpha 0.9990
  ep7 train loss 0.7480 acc 0.0069 | val 头内Δacc +0.0067 **全局Δacc +0.0117** | alpha 0.9990
  ep8 train loss 0.7460 acc 0.0085 | val 头内Δacc +0.0080 **全局Δacc +0.0112** | alpha 0.9990
  ep9 train loss 0.7435 acc 0.0102 | val 头内Δacc +0.0094 **全局Δacc +0.0127** | alpha 0.9990
  ep10 train loss 0.7402 acc 0.0120 | val 头内Δacc +0.0110 **全局Δacc +0.0130** | alpha 0.9990
  ep11 train loss 0.7388 acc 0.0131 | val 头内Δacc +0.0120 **全局Δacc +0.0131** | alpha 0.9990
  ep12 train loss 0.7368 acc 0.0146 | val 头内Δacc +0.0131 **全局Δacc +0.0134** | alpha 0.9990
