训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep12 train loss 0.6749 acc 0.0111 | val 头内Δacc +0.0113 **全局Δacc +0.0099** | alpha 0.9990
  ep13 train loss 0.6735 acc 0.0118 | val 头内Δacc +0.0115 **全局Δacc +0.0082** | alpha 0.9990
  ep14 train loss 0.6731 acc 0.0122 | val 头内Δacc +0.0119 **全局Δacc +0.0071** | alpha 0.9990
  ep15 train loss 0.6722 acc 0.0133 | val 头内Δacc +0.0127 **全局Δacc +0.0085** | alpha 0.9990
  ep16 train loss 0.6697 acc 0.0142 | val 头内Δacc +0.0140 **全局Δacc +0.0092** | alpha 0.9990
  ep17 train loss 0.6689 acc 0.0153 | val 头内Δacc +0.0151 **全局Δacc +0.0092** | alpha 0.9990
  ep18 train loss 0.6672 acc 0.0169 | val 头内Δacc +0.0160 **全局Δacc +0.0096** | alpha 0.9990
  ep19 train loss 0.6667 acc 0.0175 | val 头内Δacc +0.0170 **全局Δacc +0.0103** | alpha 0.9990
  ep20 train loss 0.6654 acc 0.0190 | val 头内Δacc +0.0174 **全局Δacc +0.0102** | alpha 0.9990
  ep21 train loss 0.6635 acc 0.0191 | val 头内Δacc +0.0172 **全局Δacc +0.0109** | alpha 0.9990
  ep22 train loss 0.6618 acc 0.0196 | val 头内Δacc +0.0171 **全局Δacc +0.0116** | alpha 0.9990
  ep23 train loss 0.6605 acc 0.0199 | val 头内Δacc +0.0175 **全局Δacc +0.0126** | alpha 0.9990
  ep24 train loss 0.6596 acc 0.0209 | val 头内Δacc +0.0188 **全局Δacc +0.0123** | alpha 0.9990
  ep25 train loss 0.6577 acc 0.0218 | val 头内Δacc +0.0199 **全局Δacc +0.0129** | alpha 0.9990
  ep26 train loss 0.6557 acc 0.0228 | val 头内Δacc +0.0206 **全局Δacc +0.0129** | alpha 0.9990
  ep27 train loss 0.6545 acc 0.0236 | val 头内Δacc +0.0213 **全局Δacc +0.0139** | alpha 0.9990
  ep28 train loss 0.6543 acc 0.0249 | val 头内Δacc +0.0222 **全局Δacc +0.0136** | alpha 0.9990
  ep29 train loss 0.6533 acc 0.0255 | val 头内Δacc +0.0228 **全局Δacc +0.0136** | alpha 0.9990
  ep30 train loss 0.6508 acc 0.0266 | val 头内Δacc +0.0235 **全局Δacc +0.0143** | alpha 0.9990
  ep31 train loss 0.6500 acc 0.0272 | val 头内Δacc +0.0240 **全局Δacc +0.0146** | alpha 0.9990
  ep32 train loss 0.6488 acc 0.0279 | val 头内Δacc +0.0245 **全局Δacc +0.0150** | alpha 0.9990
  ep33 train loss 0.6489 acc 0.0288 | val 头内Δacc +0.0254 **全局Δacc +0.0136** | alpha 0.9990
  ep34 train loss 0.6478 acc 0.0300 | val 头内Δacc +0.0257 **全局Δacc +0.0130** | alpha 0.9990
  ep35 train loss 0.6461 acc 0.0307 | val 头内Δacc +0.0261 **全局Δacc +0.0133** | alpha 0.9990
  ep36 train loss 0.6456 acc 0.0312 | val 头内Δacc +0.0268 **全局Δacc +0.0140** | alpha 0.9990
  ep37 train loss 0.6444 acc 0.0316 | val 头内Δacc +0.0269 **全局Δacc +0.0139** | alpha 0.9990
  ep38 train loss 0.6450 acc 0.0318 | val 头内Δacc +0.0276 **全局Δacc +0.0147** | alpha 0.9990
  ep39 train loss 0.6422 acc 0.0331 | val 头内Δacc +0.0280 **全局Δacc +0.0140** | alpha 0.9990

=== shuffled　参数 637.8K ===
  ep0 train loss 0.6809 acc 0.0067 | val 头内Δacc +0.0089 **全局Δacc +0.0073** | alpha 0.9990
  ep1 train loss 0.6803 acc 0.0095 | val 头内Δacc +0.0107 **全局Δacc +0.0097** | alpha 0.9990
  ep2 train loss 0.6800 acc 0.0085 | val 头内Δacc +0.0084 **全局Δacc +0.0110** | alpha 0.9990
  ep3 train loss 0.6794 acc 0.0068 | val 头内Δacc +0.0066 **全局Δacc +0.0082** | alpha 0.9990
  ep4 train loss 0.6805 acc 0.0055 | val 头内Δacc +0.0056 **全局Δacc +0.0072** | alpha 0.9990
  ep5 train loss 0.6810 acc 0.0052 | val 头内Δacc +0.0053 **全局Δacc +0.0072** | alpha 0.9990
  ep6 train loss 0.6802 acc 0.0055 | val 头内Δacc +0.0053 **全局Δacc +0.0079** | alpha 0.9990
  ep7 train loss 0.6807 acc 0.0057 | val 头内Δacc +0.0053 **全局Δacc +0.0076** | alpha 0.9990
  ep8 train loss 0.6801 acc 0.0061 | val 头内Δacc +0.0058 **全局Δacc +0.0065** | alpha 0.9990
  ep9 train loss 0.6803 acc 0.0063 | val 头内Δacc +0.0058 **全局Δacc +0.0093** | alpha 0.9990
  ep10 train loss 0.6793 acc 0.0068 | val 头内Δacc +0.0060 **全局Δacc +0.0082** | alpha 0.9990
  ep11 train loss 0.6792 acc 0.0070 | val 头内Δacc +0.0064 **全局Δacc +0.0079** | alpha 0.9990
  ep12 train loss 0.6790 acc 0.0073 | val 头内Δacc +0.0066 **全局Δacc +0.0089** | alpha 0.9990
  ep13 train loss 0.6778 acc 0.0076 | val 头内Δacc +0.0069 **全局Δacc +0.0096** | alpha 0.9990
  ep14 train loss 0.6775 acc 0.0082 | val 头内Δacc +0.0076 **全局Δacc +0.0093** | alpha 0.9990
  ep15 train loss 0.6770 acc 0.0089 | val 头内Δacc +0.0079 **全局Δacc +0.0089** | alpha 0.9990
  ep16 train loss 0.6751 acc 0.0093 | val 头内Δacc +0.0086 **全局Δacc +0.0092** | alpha 0.9990
  ep17 train loss 0.6747 acc 0.0101 | val 头内Δacc +0.0088 **全局Δacc +0.0092** | alpha 0.9990
  ep18 train loss 0.6741 acc 0.0107 | val 头内Δacc +0.0092 **全局Δacc +0.0099** | alpha 0.9990
  ep19 train loss 0.6743 acc 0.0117 | val 头内Δacc +0.0099 **全局Δacc +0.0106** | alpha 0.9990
  ep20 train loss 0.6739 acc 0.0116 | val 头内Δacc +0.0097 **全局Δacc +0.0102** | alpha 0.9990
  ep21 train loss 0.6727 acc 0.0117 | val 头内Δacc +0.0099 **全局Δacc +0.0115** | alpha 0.9990
  ep22 train loss 0.6719 acc 0.0122 | val 头内Δacc +0.0102 **全局Δacc +0.0126** | alpha 0.9990
  ep23 train loss 0.6714 acc 0.0128 | val 头内Δacc +0.0104 **全局Δacc +0.0119** | alpha 0.9990
  ep24 train loss 0.6713 acc 0.0128 | val 头内Δacc +0.0109 **全局Δacc +0.0115** | alpha 0.9990
  ep25 train loss 0.6702 acc 0.0136 | val 头内Δacc +0.0108 **全局Δacc +0.0126** | alpha 0.9990
  ep26 train loss 0.6693 acc 0.0135 | val 头内Δacc +0.0114 **全局Δacc +0.0123** | alpha 0.9990
