训练 23 篇 / 验证 7 篇

=== memoryless　参数 53.4K ===
  ep0 train loss 0.6806 acc 0.0084 | val 头内Δacc +0.0072 **全局Δacc +0.0100** | alpha 0.9990
  ep1 train loss 0.6790 acc 0.0082 | val 头内Δacc +0.0089 **全局Δacc +0.0107** | alpha 0.9990
  ep2 train loss 0.6784 acc 0.0095 | val 头内Δacc +0.0098 **全局Δacc +0.0116** | alpha 0.9990
  ep3 train loss 0.6778 acc 0.0096 | val 头内Δacc +0.0099 **全局Δacc +0.0111** | alpha 0.9990
  ep4 train loss 0.6780 acc 0.0090 | val 头内Δacc +0.0093 **全局Δacc +0.0110** | alpha 0.9990
  ep5 train loss 0.6771 acc 0.0084 | val 头内Δacc +0.0088 **全局Δacc +0.0115** | alpha 0.9990
  ep6 train loss 0.6782 acc 0.0082 | val 头内Δacc +0.0083 **全局Δacc +0.0121** | alpha 0.9990
  ep7 train loss 0.6769 acc 0.0082 | val 头内Δacc +0.0080 **全局Δacc +0.0123** | alpha 0.9990
  ep8 train loss 0.6764 acc 0.0082 | val 头内Δacc +0.0080 **全局Δacc +0.0125** | alpha 0.9990
  ep9 train loss 0.6752 acc 0.0082 | val 头内Δacc +0.0082 **全局Δacc +0.0135** | alpha 0.9990
  ep10 train loss 0.6748 acc 0.0084 | val 头内Δacc +0.0082 **全局Δacc +0.0145** | alpha 0.9990
  ep11 train loss 0.6739 acc 0.0087 | val 头内Δacc +0.0084 **全局Δacc +0.0150** | alpha 0.9990
  ep12 train loss 0.6742 acc 0.0091 | val 头内Δacc +0.0087 **全局Δacc +0.0150** | alpha 0.9990
  ep13 train loss 0.6731 acc 0.0093 | val 头内Δacc +0.0091 **全局Δacc +0.0146** | alpha 0.9990
  ep14 train loss 0.6723 acc 0.0098 | val 头内Δacc +0.0094 **全局Δacc +0.0148** | alpha 0.9990
  ep15 train loss 0.6711 acc 0.0104 | val 头内Δacc +0.0100 **全局Δacc +0.0143** | alpha 0.9990
  ep16 train loss 0.6705 acc 0.0109 | val 头内Δacc +0.0104 **全局Δacc +0.0151** | alpha 0.9990
  ep17 train loss 0.6691 acc 0.0115 | val 头内Δacc +0.0108 **全局Δacc +0.0147** | alpha 0.9990
  ep18 train loss 0.6687 acc 0.0118 | val 头内Δacc +0.0114 **全局Δacc +0.0150** | alpha 0.9990
  ep19 train loss 0.6677 acc 0.0124 | val 头内Δacc +0.0118 **全局Δacc +0.0139** | alpha 0.9990
  ep20 train loss 0.6677 acc 0.0128 | val 头内Δacc +0.0123 **全局Δacc +0.0138** | alpha 0.9990
  ep21 train loss 0.6658 acc 0.0136 | val 头内Δacc +0.0128 **全局Δacc +0.0138** | alpha 0.9990
  ep22 train loss 0.6655 acc 0.0142 | val 头内Δacc +0.0132 **全局Δacc +0.0143** | alpha 0.9990
  ep23 train loss 0.6645 acc 0.0146 | val 头内Δacc +0.0136 **全局Δacc +0.0145** | alpha 0.9990
  ep24 train loss 0.6643 acc 0.0151 | val 头内Δacc +0.0138 **全局Δacc +0.0151** | alpha 0.9990
  ep25 train loss 0.6630 acc 0.0154 | val 头内Δacc +0.0142 **全局Δacc +0.0152** | alpha 0.9990
  ep26 train loss 0.6624 acc 0.0159 | val 头内Δacc +0.0144 **全局Δacc +0.0150** | alpha 0.9990
  ep27 train loss 0.6620 acc 0.0161 | val 头内Δacc +0.0145 **全局Δacc +0.0143** | alpha 0.9990
  ep28 train loss 0.6616 acc 0.0166 | val 头内Δacc +0.0147 **全局Δacc +0.0144** | alpha 0.9990
  ep29 train loss 0.6614 acc 0.0168 | val 头内Δacc +0.0150 **全局Δacc +0.0154** | alpha 0.9990
  ep30 train loss 0.6603 acc 0.0170 | val 头内Δacc +0.0152 **全局Δacc +0.0151** | alpha 0.9990
  ep31 train loss 0.6601 acc 0.0173 | val 头内Δacc +0.0154 **全局Δacc +0.0149** | alpha 0.9990
  ep32 train loss 0.6596 acc 0.0177 | val 头内Δacc +0.0155 **全局Δacc +0.0144** | alpha 0.9990
  ep33 train loss 0.6592 acc 0.0176 | val 头内Δacc +0.0157 **全局Δacc +0.0155** | alpha 0.9990
  ep34 train loss 0.6590 acc 0.0179 | val 头内Δacc +0.0160 **全局Δacc +0.0148** | alpha 0.9990
  ep35 train loss 0.6592 acc 0.0181 | val 头内Δacc +0.0162 **全局Δacc +0.0146** | alpha 0.9990
  ep36 train loss 0.6589 acc 0.0185 | val 头内Δacc +0.0163 **全局Δacc +0.0147** | alpha 0.9990
  ep37 train loss 0.6587 acc 0.0184 | val 头内Δacc +0.0165 **全局Δacc +0.0147** | alpha 0.9990
  ep38 train loss 0.6586 acc 0.0188 | val 头内Δacc +0.0167 **全局Δacc +0.0150** | alpha 0.9990
  ep39 train loss 0.6572 acc 0.0192 | val 头内Δacc +0.0167 **全局Δacc +0.0148** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0167   全局 +0.0148
==============================================================================
