训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.4K ===
  ep0 train loss 0.6812 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0058** | alpha 1.5000
  ep1 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0020** | alpha 1.5000
  ep2 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0051** | alpha 1.5000
  ep3 train loss 0.6806 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0073** | alpha 1.5000
  ep4 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0073** | alpha 1.5000
  ep5 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0083** | alpha 1.5000
  ep6 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0126** | alpha 1.5000
  ep7 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0151** | alpha 1.5000
  ep8 train loss 0.6818 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0164** | alpha 1.5000
  ep9 train loss 0.6823 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0233** | alpha 1.5000
  ep10 train loss 0.6817 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0287** | alpha 1.5000
  ep11 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0327** | alpha 1.5000
  ep12 train loss 0.6823 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0374** | alpha 1.5000
  ep13 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0412** | alpha 1.5000
  ep14 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0464** | alpha 1.5000
  ep15 train loss 0.6823 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0574** | alpha 1.5000
  ep16 train loss 0.6810 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0680** | alpha 1.5000
  ep17 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0807** | alpha 1.5000
  ep18 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0875** | alpha 1.5000
  ep19 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0944** | alpha 1.5000
  ep20 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1023** | alpha 1.5000
  ep21 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1078** | alpha 1.5000
  ep22 train loss 0.6818 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1202** | alpha 1.5000
  ep23 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1329** | alpha 1.5000
  ep24 train loss 0.6823 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1470** | alpha 1.5000
  ep25 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1663** | alpha 1.5000
  ep26 train loss 0.6812 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1819** | alpha 1.5000
  ep27 train loss 0.6812 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1970** | alpha 1.5000
  ep28 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2126** | alpha 1.5000
  ep29 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2259** | alpha 1.5000
  ep30 train loss 0.6809 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2389** | alpha 1.5000
  ep31 train loss 0.6810 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2466** | alpha 1.5000
  ep32 train loss 0.6810 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2537** | alpha 1.5000
  ep33 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2599** | alpha 1.5000
  ep34 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2674** | alpha 1.5000
  ep35 train loss 0.6812 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2701** | alpha 1.5000
  ep36 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2708** | alpha 1.5000
  ep37 train loss 0.6811 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2715** | alpha 1.5000
  ep38 train loss 0.6824 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2742** | alpha 1.5000
  ep39 train loss 0.6802 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2737** | alpha 1.5000

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.2737
==============================================================================
