训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.8252 acc -0.0274 | val 头内Δacc -0.0181 **全局Δacc -0.0077** | alpha 0.9990
  ep1 train loss 0.7963 acc -0.0139 | val 头内Δacc -0.0121 **全局Δacc +0.0008** | alpha 0.9990
  ep2 train loss 0.7538 acc -0.0138 | val 头内Δacc -0.0169 **全局Δacc -0.0048** | alpha 0.9990
  ep3 train loss 0.7155 acc -0.0145 | val 头内Δacc -0.0081 **全局Δacc +0.0076** | alpha 0.9990
  ep4 train loss 0.6944 acc -0.0048 | val 头内Δacc -0.0017 **全局Δacc +0.0112** | alpha 0.9990
  ep5 train loss 0.6764 acc -0.0015 | val 头内Δacc -0.0005 **全局Δacc +0.0108** | alpha 0.9990
  ep6 train loss 0.6696 acc -0.0009 | val 头内Δacc -0.0003 **全局Δacc +0.0117** | alpha 0.9990
  ep7 train loss 0.6680 acc -0.0004 | val 头内Δacc -0.0003 **全局Δacc +0.0111** | alpha 0.9990
  ep8 train loss 0.6666 acc -0.0004 | val 头内Δacc -0.0004 **全局Δacc +0.0117** | alpha 0.9990
  ep9 train loss 0.6656 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0141** | alpha 0.9990
  ep10 train loss 0.6643 acc -0.0005 | val 头内Δacc -0.0001 **全局Δacc +0.0148** | alpha 0.9990
  ep11 train loss 0.6643 acc -0.0002 | val 头内Δacc -0.0004 **全局Δacc +0.0128** | alpha 0.9990
  ep12 train loss 0.6638 acc -0.0003 | val 头内Δacc -0.0002 **全局Δacc +0.0138** | alpha 0.9990
  ep13 train loss 0.6626 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0152** | alpha 0.9990
  ep14 train loss 0.6621 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0153** | alpha 0.9990
  ep15 train loss 0.6630 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0143** | alpha 0.9990
  ep16 train loss 0.6617 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0178** | alpha 0.9990
  ep17 train loss 0.6617 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0185** | alpha 0.9990
  ep18 train loss 0.6610 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0205** | alpha 0.9990
  ep19 train loss 0.6618 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0229** | alpha 0.9990
  ep20 train loss 0.6610 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0232** | alpha 0.9990
  ep21 train loss 0.6608 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0276** | alpha 0.9990
  ep22 train loss 0.6604 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0323** | alpha 0.9990
  ep23 train loss 0.6598 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0371** | alpha 0.9990
  ep24 train loss 0.6600 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0415** | alpha 0.9990
  ep25 train loss 0.6601 acc -0.0003 | val 头内Δacc -0.0002 **全局Δacc +0.0452** | alpha 0.9990
  ep26 train loss 0.6601 acc -0.0003 | val 头内Δacc -0.0002 **全局Δacc +0.0534** | alpha 0.9990
  ep27 train loss 0.6600 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0578** | alpha 0.9990
  ep28 train loss 0.6601 acc -0.0003 | val 头内Δacc -0.0002 **全局Δacc +0.0595** | alpha 0.9990
  ep29 train loss 0.6604 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0613** | alpha 0.9990
  ep30 train loss 0.6606 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0647** | alpha 0.9990
  ep31 train loss 0.6601 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0687** | alpha 0.9990
  ep32 train loss 0.6601 acc -0.0002 | val 头内Δacc -0.0005 **全局Δacc +0.0698** | alpha 0.9990
  ep33 train loss 0.6596 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0708** | alpha 0.9990
  ep34 train loss 0.6605 acc -0.0004 | val 头内Δacc -0.0005 **全局Δacc +0.0745** | alpha 0.9990
  ep35 train loss 0.6603 acc -0.0004 | val 头内Δacc -0.0006 **全局Δacc +0.0776** | alpha 0.9990
  ep36 train loss 0.6599 acc -0.0003 | val 头内Δacc -0.0004 **全局Δacc +0.0776** | alpha 0.9990
  ep37 train loss 0.6608 acc -0.0005 | val 头内Δacc -0.0004 **全局Δacc +0.0818** | alpha 0.9990
  ep38 train loss 0.6607 acc -0.0005 | val 头内Δacc -0.0004 **全局Δacc +0.0825** | alpha 0.9990
  ep39 train loss 0.6605 acc -0.0004 | val 头内Δacc -0.0009 **全局Δacc +0.0854** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 -0.0009   全局 +0.0854
==============================================================================
