训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep12 train loss 0.7210 acc 0.0310 | val 头内Δacc +0.0299 **全局Δacc +0.0180** | alpha 0.9990
  ep13 train loss 0.7183 acc 0.0330 | val 头内Δacc +0.0321 **全局Δacc +0.0190** | alpha 0.9990
  ep14 train loss 0.7165 acc 0.0348 | val 头内Δacc +0.0335 **全局Δacc +0.0202** | alpha 0.9990
  ep15 train loss 0.7157 acc 0.0366 | val 头内Δacc +0.0350 **全局Δacc +0.0190** | alpha 0.9990
  ep16 train loss 0.7133 acc 0.0388 | val 头内Δacc +0.0357 **全局Δacc +0.0197** | alpha 0.9990
  ep17 train loss 0.7124 acc 0.0387 | val 头内Δacc +0.0369 **全局Δacc +0.0198** | alpha 0.9990
  ep18 train loss 0.7116 acc 0.0394 | val 头内Δacc +0.0375 **全局Δacc +0.0198** | alpha 0.9990
  ep19 train loss 0.7113 acc 0.0400 | val 头内Δacc +0.0382 **全局Δacc +0.0206** | alpha 0.9990
  ep20 train loss 0.7095 acc 0.0408 | val 头内Δacc +0.0392 **全局Δacc +0.0204** | alpha 0.9990
  ep21 train loss 0.7098 acc 0.0412 | val 头内Δacc +0.0392 **全局Δacc +0.0201** | alpha 0.9990
  ep22 train loss 0.7086 acc 0.0420 | val 头内Δacc +0.0399 **全局Δacc +0.0214** | alpha 0.9990
  ep23 train loss 0.7081 acc 0.0428 | val 头内Δacc +0.0409 **全局Δacc +0.0218** | alpha 0.9990
  ep24 train loss 0.7068 acc 0.0438 | val 头内Δacc +0.0411 **全局Δacc +0.0220** | alpha 0.9990
  ep25 train loss 0.7065 acc 0.0441 | val 头内Δacc +0.0418 **全局Δacc +0.0222** | alpha 0.9990
  ep26 train loss 0.7063 acc 0.0443 | val 头内Δacc +0.0418 **全局Δacc +0.0223** | alpha 0.9990
  ep27 train loss 0.7059 acc 0.0451 | val 头内Δacc +0.0423 **全局Δacc +0.0216** | alpha 0.9990
  ep28 train loss 0.7052 acc 0.0452 | val 头内Δacc +0.0422 **全局Δacc +0.0216** | alpha 0.9990
  ep29 train loss 0.7053 acc 0.0452 | val 头内Δacc +0.0432 **全局Δacc +0.0226** | alpha 0.9990
  ep30 train loss 0.7041 acc 0.0466 | val 头内Δacc +0.0434 **全局Δacc +0.0219** | alpha 0.9990
  ep31 train loss 0.7038 acc 0.0461 | val 头内Δacc +0.0440 **全局Δacc +0.0219** | alpha 0.9990
  ep32 train loss 0.7036 acc 0.0470 | val 头内Δacc +0.0430 **全局Δacc +0.0219** | alpha 0.9990
  ep33 train loss 0.7045 acc 0.0462 | val 头内Δacc +0.0434 **全局Δacc +0.0212** | alpha 0.9990
  ep34 train loss 0.7028 acc 0.0472 | val 头内Δacc +0.0444 **全局Δacc +0.0222** | alpha 0.9990
  ep35 train loss 0.7027 acc 0.0475 | val 头内Δacc +0.0441 **全局Δacc +0.0236** | alpha 0.9990
  ep36 train loss 0.7026 acc 0.0474 | val 头内Δacc +0.0443 **全局Δacc +0.0228** | alpha 0.9990
  ep37 train loss 0.7016 acc 0.0478 | val 头内Δacc +0.0444 **全局Δacc +0.0227** | alpha 0.9990
  ep38 train loss 0.7022 acc 0.0485 | val 头内Δacc +0.0450 **全局Δacc +0.0227** | alpha 0.9990
  ep39 train loss 0.7012 acc 0.0488 | val 头内Δacc +0.0449 **全局Δacc +0.0220** | alpha 0.9990

=== shuffled　参数 637.8K ===
  ep0 train loss 0.7628 acc 0.0044 | val 头内Δacc +0.0032 **全局Δacc +0.0095** | alpha 0.9990
  ep1 train loss 0.7619 acc 0.0020 | val 头内Δacc +0.0016 **全局Δacc +0.0089** | alpha 0.9990
  ep2 train loss 0.7620 acc 0.0027 | val 头内Δacc +0.0048 **全局Δacc +0.0115** | alpha 0.9990
  ep3 train loss 0.7599 acc 0.0037 | val 头内Δacc +0.0025 **全局Δacc +0.0105** | alpha 0.9990
  ep4 train loss 0.7579 acc 0.0031 | val 头内Δacc +0.0032 **全局Δacc +0.0110** | alpha 0.9990
  ep5 train loss 0.7542 acc 0.0042 | val 头内Δacc +0.0046 **全局Δacc +0.0110** | alpha 0.9990
  ep6 train loss 0.7502 acc 0.0060 | val 头内Δacc +0.0068 **全局Δacc +0.0101** | alpha 0.9990
  ep7 train loss 0.7475 acc 0.0081 | val 头内Δacc +0.0082 **全局Δacc +0.0109** | alpha 0.9990
  ep8 train loss 0.7449 acc 0.0094 | val 头内Δacc +0.0099 **全局Δacc +0.0106** | alpha 0.9990
  ep9 train loss 0.7422 acc 0.0108 | val 头内Δacc +0.0106 **全局Δacc +0.0122** | alpha 0.9990
  ep10 train loss 0.7381 acc 0.0125 | val 头内Δacc +0.0116 **全局Δacc +0.0107** | alpha 0.9990
  ep11 train loss 0.7373 acc 0.0135 | val 头内Δacc +0.0136 **全局Δacc +0.0115** | alpha 0.9990
  ep12 train loss 0.7349 acc 0.0150 | val 头内Δacc +0.0146 **全局Δacc +0.0124** | alpha 0.9990
  ep13 train loss 0.7324 acc 0.0162 | val 头内Δacc +0.0156 **全局Δacc +0.0122** | alpha 0.9990
  ep14 train loss 0.7302 acc 0.0178 | val 头内Δacc +0.0171 **全局Δacc +0.0139** | alpha 0.9990
  ep15 train loss 0.7292 acc 0.0197 | val 头内Δacc +0.0188 **全局Δacc +0.0135** | alpha 0.9990
  ep16 train loss 0.7262 acc 0.0216 | val 头内Δacc +0.0196 **全局Δacc +0.0149** | alpha 0.9990
  ep17 train loss 0.7256 acc 0.0223 | val 头内Δacc +0.0210 **全局Δacc +0.0155** | alpha 0.9990
  ep18 train loss 0.7242 acc 0.0237 | val 头内Δacc +0.0226 **全局Δacc +0.0149** | alpha 0.9990
  ep19 train loss 0.7234 acc 0.0251 | val 头内Δacc +0.0235 **全局Δacc +0.0155** | alpha 0.9990
  ep20 train loss 0.7217 acc 0.0258 | val 头内Δacc +0.0239 **全局Δacc +0.0149** | alpha 0.9990
  ep21 train loss 0.7215 acc 0.0266 | val 头内Δacc +0.0251 **全局Δacc +0.0153** | alpha 0.9990
  ep22 train loss 0.7204 acc 0.0273 | val 头内Δacc +0.0255 **全局Δacc +0.0153** | alpha 0.9990
  ep23 train loss 0.7194 acc 0.0285 | val 头内Δacc +0.0267 **全局Δacc +0.0156** | alpha 0.9990
  ep24 train loss 0.7182 acc 0.0293 | val 头内Δacc +0.0262 **全局Δacc +0.0172** | alpha 0.9990
  ep25 train loss 0.7179 acc 0.0296 | val 头内Δacc +0.0281 **全局Δacc +0.0151** | alpha 0.9990
  ep26 train loss 0.7166 acc 0.0307 | val 头内Δacc +0.0276 **全局Δacc +0.0170** | alpha 0.9990
  ep27 train loss 0.7168 acc 0.0313 | val 头内Δacc +0.0289 **全局Δacc +0.0166** | alpha 0.9990
  ep28 train loss 0.7154 acc 0.0322 | val 头内Δacc +0.0293 **全局Δacc +0.0164** | alpha 0.9990
  ep29 train loss 0.7156 acc 0.0321 | val 头内Δacc +0.0293 **全局Δacc +0.0172** | alpha 0.9990
  ep30 train loss 0.7146 acc 0.0328 | val 头内Δacc +0.0301 **全局Δacc +0.0167** | alpha 0.9990
  ep31 train loss 0.7137 acc 0.0338 | val 头内Δacc +0.0315 **全局Δacc +0.0178** | alpha 0.9990
  ep32 train loss 0.7140 acc 0.0337 | val 头内Δacc +0.0303 **全局Δacc +0.0173** | alpha 0.9990
  ep33 train loss 0.7144 acc 0.0339 | val 头内Δacc +0.0310 **全局Δacc +0.0168** | alpha 0.9990
  ep34 train loss 0.7125 acc 0.0344 | val 头内Δacc +0.0309 **全局Δacc +0.0172** | alpha 0.9990
  ep35 train loss 0.7120 acc 0.0352 | val 头内Δacc +0.0321 **全局Δacc +0.0167** | alpha 0.9990
  ep36 train loss 0.7119 acc 0.0356 | val 头内Δacc +0.0327 **全局Δacc +0.0177** | alpha 0.9990
  ep37 train loss 0.7102 acc 0.0364 | val 头内Δacc +0.0333 **全局Δacc +0.0189** | alpha 0.9990
