训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 1.9627 acc -0.0744 | val 头内Δacc -0.0761 **全局Δacc -0.0421** | alpha 1.2500
  ep1 train loss 1.5761 acc -0.0715 | val 头内Δacc -0.0742 **全局Δacc -0.0365** | alpha 1.2500
  ep2 train loss 1.1391 acc -0.0657 | val 头内Δacc -0.0630 **全局Δacc -0.0270** | alpha 1.2500
  ep3 train loss 0.7555 acc -0.0348 | val 头内Δacc -0.0088 **全局Δacc -0.0097** | alpha 1.2500
  ep4 train loss 0.7191 acc -0.0050 | val 头内Δacc -0.0034 **全局Δacc -0.0016** | alpha 1.2500
  ep5 train loss 0.6878 acc -0.0048 | val 头内Δacc -0.0102 **全局Δacc -0.0135** | alpha 1.2500
  ep6 train loss 0.6805 acc -0.0053 | val 头内Δacc -0.0003 **全局Δacc -0.0019** | alpha 1.2500
  ep7 train loss 0.6772 acc -0.0003 | val 头内Δacc -0.0017 **全局Δacc +0.0001** | alpha 1.2500
  ep8 train loss 0.6721 acc -0.0007 | val 头内Δacc -0.0001 **全局Δacc +0.0113** | alpha 1.2500
  ep9 train loss 0.6718 acc -0.0004 | val 头内Δacc -0.0005 **全局Δacc +0.0131** | alpha 1.2500
  ep10 train loss 0.6712 acc -0.0002 | val 头内Δacc -0.0006 **全局Δacc +0.0155** | alpha 1.2500
  ep11 train loss 0.6687 acc -0.0004 | val 头内Δacc -0.0002 **全局Δacc +0.0219** | alpha 1.2500
  ep12 train loss 0.6686 acc -0.0003 | val 头内Δacc -0.0009 **全局Δacc +0.0252** | alpha 1.2500
  ep13 train loss 0.6663 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0286** | alpha 1.2500
  ep14 train loss 0.6660 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0326** | alpha 1.2500
  ep15 train loss 0.6645 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0374** | alpha 1.2500
  ep16 train loss 0.6637 acc -0.0002 | val 头内Δacc -0.0000 **全局Δacc +0.0407** | alpha 1.2500
  ep17 train loss 0.6634 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0425** | alpha 1.2500
  ep18 train loss 0.6628 acc -0.0000 | val 头内Δacc -0.0002 **全局Δacc +0.0486** | alpha 1.2500
  ep19 train loss 0.6626 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0551** | alpha 1.2500
  ep20 train loss 0.6618 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0561** | alpha 1.2500
  ep21 train loss 0.6616 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0622** | alpha 1.2500
  ep22 train loss 0.6616 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0686** | alpha 1.2500
  ep23 train loss 0.6614 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0717** | alpha 1.2500
  ep24 train loss 0.6614 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0759** | alpha 1.2500
  ep25 train loss 0.6613 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0823** | alpha 1.2500
  ep26 train loss 0.6604 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0909** | alpha 1.2500
  ep27 train loss 0.6611 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0949** | alpha 1.2500
  ep28 train loss 0.6612 acc -0.0001 | val 头内Δacc -0.0003 **全局Δacc +0.0954** | alpha 1.2500
  ep29 train loss 0.6609 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0978** | alpha 1.2500
  ep30 train loss 0.6610 acc -0.0001 | val 头内Δacc -0.0005 **全局Δacc +0.1019** | alpha 1.2500
  ep31 train loss 0.6605 acc -0.0003 | val 头内Δacc -0.0002 **全局Δacc +0.1049** | alpha 1.2500
  ep32 train loss 0.6610 acc -0.0004 | val 头内Δacc -0.0005 **全局Δacc +0.1083** | alpha 1.2500
  ep33 train loss 0.6614 acc -0.0003 | val 头内Δacc -0.0005 **全局Δacc +0.1086** | alpha 1.2500
  ep34 train loss 0.6607 acc -0.0006 | val 头内Δacc -0.0008 **全局Δacc +0.1103** | alpha 1.2500
  ep35 train loss 0.6612 acc -0.0007 | val 头内Δacc -0.0012 **全局Δacc +0.1127** | alpha 1.2500
  ep36 train loss 0.6607 acc -0.0008 | val 头内Δacc -0.0009 **全局Δacc +0.1171** | alpha 1.2500
  ep37 train loss 0.6613 acc -0.0008 | val 头内Δacc -0.0012 **全局Δacc +0.1182** | alpha 1.2500
  ep38 train loss 0.6611 acc -0.0007 | val 头内Δacc -0.0010 **全局Δacc +0.1205** | alpha 1.2500
  ep39 train loss 0.6612 acc -0.0009 | val 头内Δacc -0.0011 **全局Δacc +0.1226** | alpha 1.2500

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 -0.0011   全局 +0.1226
==============================================================================
