训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.6818 acc 0.0057 | val 头内Δacc +0.0062 **全局Δacc -0.0022** | alpha 0.0500
  ep1 train loss 0.6833 acc 0.0056 | val 头内Δacc +0.0074 **全局Δacc -0.0019** | alpha 0.0501
  ep2 train loss 0.6819 acc 0.0064 | val 头内Δacc +0.0074 **全局Δacc +0.0003** | alpha 0.0502
  ep3 train loss 0.6833 acc 0.0067 | val 头内Δacc +0.0074 **全局Δacc +0.0009** | alpha 0.0504
  ep4 train loss 0.6826 acc 0.0068 | val 头内Δacc +0.0066 **全局Δacc -0.0000** | alpha 0.0505
  ep5 train loss 0.6831 acc 0.0054 | val 头内Δacc +0.0051 **全局Δacc -0.0004** | alpha 0.0507
  ep6 train loss 0.6827 acc 0.0046 | val 头内Δacc +0.0046 **全局Δacc -0.0003** | alpha 0.0508
  ep7 train loss 0.6822 acc 0.0044 | val 头内Δacc +0.0046 **全局Δacc +0.0000** | alpha 0.0510
  ep8 train loss 0.6831 acc 0.0044 | val 头内Δacc +0.0045 **全局Δacc +0.0000** | alpha 0.0511
  ep9 train loss 0.6814 acc 0.0045 | val 头内Δacc +0.0045 **全局Δacc +0.0000** | alpha 0.0513
  ep10 train loss 0.6828 acc 0.0044 | val 头内Δacc +0.0045 **全局Δacc -0.0002** | alpha 0.0514
  ep11 train loss 0.6822 acc 0.0042 | val 头内Δacc +0.0040 **全局Δacc +0.0004** | alpha 0.0516
  ep12 train loss 0.6840 acc 0.0042 | val 头内Δacc +0.0045 **全局Δacc +0.0007** | alpha 0.0517
  ep13 train loss 0.6826 acc 0.0046 | val 头内Δacc +0.0046 **全局Δacc -0.0002** | alpha 0.0518
  ep14 train loss 0.6829 acc 0.0047 | val 头内Δacc +0.0048 **全局Δacc +0.0001** | alpha 0.0520
  ep15 train loss 0.6825 acc 0.0048 | val 头内Δacc +0.0047 **全局Δacc +0.0001** | alpha 0.0521
  ep16 train loss 0.6823 acc 0.0046 | val 头内Δacc +0.0042 **全局Δacc +0.0007** | alpha 0.0522
  ep17 train loss 0.6830 acc 0.0043 | val 头内Δacc +0.0040 **全局Δacc +0.0004** | alpha 0.0524
