训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.6809 acc 0.0077 | val 头内Δacc +0.0087 **全局Δacc +0.0020** | alpha 0.9990
  ep1 train loss 0.6800 acc 0.0107 | val 头内Δacc +0.0103 **全局Δacc +0.0096** | alpha 0.9990
  ep2 train loss 0.6812 acc 0.0113 | val 头内Δacc +0.0104 **全局Δacc +0.0123** | alpha 0.9990
  ep3 train loss 0.6818 acc 0.0096 | val 头内Δacc +0.0081 **全局Δacc +0.0082** | alpha 0.9990
  ep4 train loss 0.6816 acc 0.0083 | val 头内Δacc +0.0065 **全局Δacc +0.0058** | alpha 0.9990
  ep5 train loss 0.6817 acc 0.0081 | val 头内Δacc +0.0067 **全局Δacc +0.0075** | alpha 0.9990
  ep6 train loss 0.6815 acc 0.0067 | val 头内Δacc +0.0052 **全局Δacc +0.0069** | alpha 0.9990
  ep7 train loss 0.6804 acc 0.0058 | val 头内Δacc +0.0050 **全局Δacc +0.0079** | alpha 0.9990
  ep8 train loss 0.6786 acc 0.0057 | val 头内Δacc +0.0050 **全局Δacc +0.0065** | alpha 0.9990
  ep9 train loss 0.6797 acc 0.0058 | val 头内Δacc +0.0053 **全局Δacc +0.0082** | alpha 0.9990
  ep10 train loss 0.6800 acc 0.0063 | val 头内Δacc +0.0055 **全局Δacc +0.0086** | alpha 0.9990
  ep11 train loss 0.6786 acc 0.0067 | val 头内Δacc +0.0054 **全局Δacc +0.0083** | alpha 0.9990
  ep12 train loss 0.6802 acc 0.0060 | val 头内Δacc +0.0031 **全局Δacc +0.0103** | alpha 0.9990
  ep13 train loss 0.6784 acc 0.0045 | val 头内Δacc +0.0033 **全局Δacc +0.0086** | alpha 0.9990
  ep14 train loss 0.6793 acc 0.0042 | val 头内Δacc +0.0040 **全局Δacc +0.0110** | alpha 0.9990
  ep15 train loss 0.6783 acc 0.0051 | val 头内Δacc +0.0047 **全局Δacc +0.0099** | alpha 0.9990
  ep16 train loss 0.6778 acc 0.0055 | val 头内Δacc +0.0054 **全局Δacc +0.0100** | alpha 0.9990
  ep17 train loss 0.6780 acc 0.0073 | val 头内Δacc +0.0066 **全局Δacc +0.0113** | alpha 0.9990
  ep18 train loss 0.6767 acc 0.0084 | val 头内Δacc +0.0073 **全局Δacc +0.0120** | alpha 0.9990
  ep19 train loss 0.6767 acc 0.0089 | val 头内Δacc +0.0077 **全局Δacc +0.0127** | alpha 0.9990
  ep20 train loss 0.6755 acc 0.0093 | val 头内Δacc +0.0078 **全局Δacc +0.0114** | alpha 0.9990
  ep21 train loss 0.6754 acc 0.0097 | val 头内Δacc +0.0083 **全局Δacc +0.0124** | alpha 0.9990
  ep22 train loss 0.6753 acc 0.0103 | val 头内Δacc +0.0084 **全局Δacc +0.0137** | alpha 0.9990
  ep23 train loss 0.6744 acc 0.0107 | val 头内Δacc +0.0090 **全局Δacc +0.0133** | alpha 0.9990
  ep24 train loss 0.6741 acc 0.0115 | val 头内Δacc +0.0094 **全局Δacc +0.0140** | alpha 0.9990
  ep25 train loss 0.6739 acc 0.0118 | val 头内Δacc +0.0099 **全局Δacc +0.0116** | alpha 0.9990
  ep26 train loss 0.6717 acc 0.0123 | val 头内Δacc +0.0100 **全局Δacc +0.0126** | alpha 0.9990
  ep27 train loss 0.6718 acc 0.0126 | val 头内Δacc +0.0101 **全局Δacc +0.0126** | alpha 0.9990
  ep28 train loss 0.6716 acc 0.0128 | val 头内Δacc +0.0106 **全局Δacc +0.0116** | alpha 0.9990
  ep29 train loss 0.6713 acc 0.0133 | val 头内Δacc +0.0110 **全局Δacc +0.0113** | alpha 0.9990
  ep30 train loss 0.6705 acc 0.0139 | val 头内Δacc +0.0116 **全局Δacc +0.0123** | alpha 0.9990
  ep31 train loss 0.6689 acc 0.0140 | val 头内Δacc +0.0115 **全局Δacc +0.0115** | alpha 0.9990
  ep32 train loss 0.6692 acc 0.0143 | val 头内Δacc +0.0118 **全局Δacc +0.0136** | alpha 0.9990
  ep33 train loss 0.6683 acc 0.0153 | val 头内Δacc +0.0127 **全局Δacc +0.0126** | alpha 0.9990
  ep34 train loss 0.6669 acc 0.0154 | val 头内Δacc +0.0130 **全局Δacc +0.0120** | alpha 0.9990
  ep35 train loss 0.6669 acc 0.0159 | val 头内Δacc +0.0131 **全局Δacc +0.0116** | alpha 0.9990
  ep36 train loss 0.6652 acc 0.0161 | val 头内Δacc +0.0135 **全局Δacc +0.0143** | alpha 0.9990
  ep37 train loss 0.6654 acc 0.0169 | val 头内Δacc +0.0136 **全局Δacc +0.0146** | alpha 0.9990
  ep38 train loss 0.6648 acc 0.0164 | val 头内Δacc +0.0139 **全局Δacc +0.0122** | alpha 0.9990
  ep39 train loss 0.6646 acc 0.0167 | val 头内Δacc +0.0141 **全局Δacc +0.0119** | alpha 0.9990

=== memoryless　参数 637.8K ===
  ep0 train loss 0.6809 acc 0.0077 | val 头内Δacc +0.0078 **全局Δacc -0.0004** | alpha 0.9990
  ep1 train loss 0.6803 acc 0.0097 | val 头内Δacc +0.0096 **全局Δacc +0.0027** | alpha 0.9990
  ep2 train loss 0.6817 acc 0.0102 | val 头内Δacc +0.0104 **全局Δacc +0.0057** | alpha 0.9990
  ep3 train loss 0.6824 acc 0.0100 | val 头内Δacc +0.0114 **全局Δacc +0.0053** | alpha 0.9990
  ep4 train loss 0.6820 acc 0.0110 | val 头内Δacc +0.0123 **全局Δacc +0.0059** | alpha 0.9990
  ep5 train loss 0.6819 acc 0.0109 | val 头内Δacc +0.0134 **全局Δacc +0.0052** | alpha 0.9990
  ep6 train loss 0.6810 acc 0.0123 | val 头内Δacc +0.0143 **全局Δacc +0.0032** | alpha 0.9990
  ep7 train loss 0.6787 acc 0.0132 | val 头内Δacc +0.0153 **全局Δacc +0.0057** | alpha 0.9990
  ep8 train loss 0.6760 acc 0.0137 | val 头内Δacc +0.0156 **全局Δacc +0.0091** | alpha 0.9990
  ep9 train loss 0.6762 acc 0.0141 | val 头内Δacc +0.0156 **全局Δacc +0.0099** | alpha 0.9990
  ep10 train loss 0.6758 acc 0.0143 | val 头内Δacc +0.0156 **全局Δacc +0.0092** | alpha 0.9990
  ep11 train loss 0.6741 acc 0.0151 | val 头内Δacc +0.0154 **全局Δacc +0.0086** | alpha 0.9990
