训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.7616 acc 0.0050 | val 头内Δacc +0.0041 **全局Δacc +0.0112** | alpha 0.9990
  ep1 train loss 0.7617 acc 0.0017 | val 头内Δacc +0.0015 **全局Δacc +0.0090** | alpha 0.9990
  ep2 train loss 0.7605 acc 0.0018 | val 头内Δacc +0.0024 **全局Δacc +0.0137** | alpha 0.9990
  ep3 train loss 0.7601 acc 0.0024 | val 头内Δacc +0.0029 **全局Δacc +0.0132** | alpha 0.9990
  ep4 train loss 0.7564 acc 0.0034 | val 头内Δacc +0.0041 **全局Δacc +0.0131** | alpha 0.9990
  ep5 train loss 0.7523 acc 0.0055 | val 头内Δacc +0.0053 **全局Δacc +0.0118** | alpha 0.9990
  ep6 train loss 0.7493 acc 0.0064 | val 头内Δacc +0.0077 **全局Δacc +0.0129** | alpha 0.9990
  ep7 train loss 0.7451 acc 0.0086 | val 头内Δacc +0.0099 **全局Δacc +0.0136** | alpha 0.9990
  ep8 train loss 0.7411 acc 0.0105 | val 头内Δacc +0.0105 **全局Δacc +0.0129** | alpha 0.9990
  ep9 train loss 0.7390 acc 0.0120 | val 头内Δacc +0.0119 **全局Δacc +0.0130** | alpha 0.9990
  ep10 train loss 0.7364 acc 0.0135 | val 头内Δacc +0.0138 **全局Δacc +0.0131** | alpha 0.9990
  ep11 train loss 0.7342 acc 0.0153 | val 头内Δacc +0.0145 **全局Δacc +0.0137** | alpha 0.9990
  ep12 train loss 0.7343 acc 0.0159 | val 头内Δacc +0.0159 **全局Δacc +0.0129** | alpha 0.9990
  ep13 train loss 0.7311 acc 0.0176 | val 头内Δacc +0.0166 **全局Δacc +0.0125** | alpha 0.9990
  ep14 train loss 0.7293 acc 0.0184 | val 头内Δacc +0.0183 **全局Δacc +0.0141** | alpha 0.9990
  ep15 train loss 0.7274 acc 0.0198 | val 头内Δacc +0.0188 **全局Δacc +0.0148** | alpha 0.9990
  ep16 train loss 0.7269 acc 0.0206 | val 头内Δacc +0.0202 **全局Δacc +0.0156** | alpha 0.9990
  ep17 train loss 0.7249 acc 0.0226 | val 头内Δacc +0.0213 **全局Δacc +0.0153** | alpha 0.9990
  ep18 train loss 0.7232 acc 0.0235 | val 头内Δacc +0.0217 **全局Δacc +0.0166** | alpha 0.9990
  ep19 train loss 0.7220 acc 0.0248 | val 头内Δacc +0.0233 **全局Δacc +0.0158** | alpha 0.9990
  ep20 train loss 0.7210 acc 0.0258 | val 头内Δacc +0.0240 **全局Δacc +0.0159** | alpha 0.9990
  ep21 train loss 0.7212 acc 0.0268 | val 头内Δacc +0.0247 **全局Δacc +0.0164** | alpha 0.9990
  ep22 train loss 0.7193 acc 0.0273 | val 头内Δacc +0.0248 **全局Δacc +0.0177** | alpha 0.9990
  ep23 train loss 0.7181 acc 0.0283 | val 头内Δacc +0.0264 **全局Δacc +0.0181** | alpha 0.9990
  ep24 train loss 0.7171 acc 0.0292 | val 头内Δacc +0.0255 **全局Δacc +0.0171** | alpha 0.9990
  ep25 train loss 0.7174 acc 0.0299 | val 头内Δacc +0.0275 **全局Δacc +0.0168** | alpha 0.9990
  ep26 train loss 0.7163 acc 0.0308 | val 头内Δacc +0.0281 **全局Δacc +0.0171** | alpha 0.9990
  ep27 train loss 0.7161 acc 0.0313 | val 头内Δacc +0.0288 **全局Δacc +0.0158** | alpha 0.9990
  ep28 train loss 0.7144 acc 0.0322 | val 头内Δacc +0.0293 **全局Δacc +0.0177** | alpha 0.9990
  ep29 train loss 0.7148 acc 0.0322 | val 头内Δacc +0.0293 **全局Δacc +0.0163** | alpha 0.9990
  ep30 train loss 0.7148 acc 0.0324 | val 头内Δacc +0.0294 **全局Δacc +0.0171** | alpha 0.9990
  ep31 train loss 0.7141 acc 0.0332 | val 头内Δacc +0.0303 **全局Δacc +0.0168** | alpha 0.9990
  ep32 train loss 0.7134 acc 0.0339 | val 头内Δacc +0.0300 **全局Δacc +0.0171** | alpha 0.9990
  ep33 train loss 0.7128 acc 0.0345 | val 头内Δacc +0.0309 **全局Δacc +0.0170** | alpha 0.9990
  ep34 train loss 0.7128 acc 0.0348 | val 头内Δacc +0.0311 **全局Δacc +0.0177** | alpha 0.9990
  ep35 train loss 0.7118 acc 0.0347 | val 头内Δacc +0.0311 **全局Δacc +0.0167** | alpha 0.9990
  ep36 train loss 0.7107 acc 0.0353 | val 头内Δacc +0.0321 **全局Δacc +0.0180** | alpha 0.9990
  ep37 train loss 0.7118 acc 0.0354 | val 头内Δacc +0.0320 **全局Δacc +0.0174** | alpha 0.9990
  ep38 train loss 0.7119 acc 0.0360 | val 头内Δacc +0.0325 **全局Δacc +0.0188** | alpha 0.9990
  ep39 train loss 0.7101 acc 0.0357 | val 头内Δacc +0.0323 **全局Δacc +0.0185** | alpha 0.9990

=== memoryless　参数 637.8K ===
  ep0 train loss 0.7616 acc 0.0089 | val 头内Δacc +0.0117 **全局Δacc +0.0061** | alpha 0.9990
  ep1 train loss 0.7601 acc 0.0067 | val 头内Δacc +0.0056 **全局Δacc +0.0093** | alpha 0.9990
  ep2 train loss 0.7573 acc 0.0052 | val 头内Δacc +0.0059 **全局Δacc +0.0133** | alpha 0.9990
  ep3 train loss 0.7542 acc 0.0057 | val 头内Δacc +0.0058 **全局Δacc +0.0152** | alpha 0.9990
  ep4 train loss 0.7507 acc 0.0057 | val 头内Δacc +0.0062 **全局Δacc +0.0148** | alpha 0.9990
  ep5 train loss 0.7467 acc 0.0073 | val 头内Δacc +0.0080 **全局Δacc +0.0156** | alpha 0.9990
  ep6 train loss 0.7442 acc 0.0098 | val 头内Δacc +0.0110 **全局Δacc +0.0157** | alpha 0.9990
  ep7 train loss 0.7397 acc 0.0134 | val 头内Δacc +0.0146 **全局Δacc +0.0153** | alpha 0.9990
  ep8 train loss 0.7342 acc 0.0173 | val 头内Δacc +0.0184 **全局Δacc +0.0144** | alpha 0.9990
  ep9 train loss 0.7306 acc 0.0211 | val 头内Δacc +0.0218 **全局Δacc +0.0149** | alpha 0.9990
  ep10 train loss 0.7261 acc 0.0262 | val 头内Δacc +0.0281 **全局Δacc +0.0144** | alpha 0.9990
  ep11 train loss 0.7228 acc 0.0301 | val 头内Δacc +0.0270 **全局Δacc +0.0152** | alpha 0.9990
  ep12 train loss 0.7226 acc 0.0304 | val 头内Δacc +0.0301 **全局Δacc +0.0168** | alpha 0.9990
  ep13 train loss 0.7191 acc 0.0332 | val 头内Δacc +0.0318 **全局Δacc +0.0173** | alpha 0.9990
  ep14 train loss 0.7173 acc 0.0342 | val 头内Δacc +0.0322 **全局Δacc +0.0164** | alpha 0.9990
  ep15 train loss 0.7153 acc 0.0358 | val 头内Δacc +0.0337 **全局Δacc +0.0182** | alpha 0.9990
