训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.7581 acc -0.0001 | val 头内Δacc -0.0000 **全局Δacc -0.0014** | alpha 0.3490
  ep1 train loss 0.7265 acc -0.0005 | val 头内Δacc -0.0009 **全局Δacc -0.0007** | alpha 0.3490
  ep2 train loss 0.7019 acc -0.0023 | val 头内Δacc -0.0034 **全局Δacc -0.0010** | alpha 0.3490
  ep3 train loss 0.6871 acc -0.0050 | val 头内Δacc -0.0039 **全局Δacc -0.0009** | alpha 0.3490
  ep4 train loss 0.6802 acc -0.0040 | val 头内Δacc -0.0016 **全局Δacc -0.0023** | alpha 0.3490
  ep5 train loss 0.6763 acc -0.0013 | val 头内Δacc -0.0003 **全局Δacc -0.0020** | alpha 0.3490
  ep6 train loss 0.6719 acc -0.0006 | val 头内Δacc -0.0002 **全局Δacc -0.0014** | alpha 0.3490
  ep7 train loss 0.6695 acc -0.0005 | val 头内Δacc -0.0002 **全局Δacc -0.0007** | alpha 0.3490
  ep8 train loss 0.6674 acc -0.0003 | val 头内Δacc -0.0000 **全局Δacc +0.0007** | alpha 0.3490
  ep9 train loss 0.6673 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0021** | alpha 0.3490
  ep10 train loss 0.6667 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0021** | alpha 0.3490
  ep11 train loss 0.6669 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0000** | alpha 0.3490
  ep12 train loss 0.6666 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0001** | alpha 0.3490
  ep13 train loss 0.6660 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0004** | alpha 0.3490
  ep14 train loss 0.6662 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0004** | alpha 0.3490
  ep15 train loss 0.6663 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0007** | alpha 0.3490
  ep16 train loss 0.6652 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0011** | alpha 0.3490
  ep17 train loss 0.6652 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0014** | alpha 0.3490
  ep18 train loss 0.6647 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0024** | alpha 0.3490
  ep19 train loss 0.6651 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0025** | alpha 0.3490
  ep20 train loss 0.6649 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0028** | alpha 0.3490
  ep21 train loss 0.6643 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0034** | alpha 0.3490
  ep22 train loss 0.6636 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0034** | alpha 0.3490
  ep23 train loss 0.6639 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0031** | alpha 0.3490
  ep24 train loss 0.6636 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0044** | alpha 0.3490
  ep25 train loss 0.6628 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0041** | alpha 0.3490
  ep26 train loss 0.6628 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0045** | alpha 0.3490
  ep27 train loss 0.6624 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0058** | alpha 0.3490
  ep28 train loss 0.6629 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0065** | alpha 0.3490
  ep29 train loss 0.6632 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0069** | alpha 0.3490
  ep30 train loss 0.6621 acc -0.0001 | val 头内Δacc -0.0003 **全局Δacc +0.0082** | alpha 0.3490
  ep31 train loss 0.6620 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0092** | alpha 0.3490
