训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.7632 acc 0.0079 | val 头内Δacc +0.0039 **全局Δacc +0.0133** | alpha 0.9990
  ep1 train loss 0.7622 acc 0.0020 | val 头内Δacc +0.0010 **全局Δacc +0.0100** | alpha 0.9990
  ep2 train loss 0.7614 acc 0.0015 | val 头内Δacc +0.0017 **全局Δacc +0.0127** | alpha 0.9990
  ep3 train loss 0.7585 acc 0.0028 | val 头内Δacc +0.0037 **全局Δacc +0.0127** | alpha 0.9990
  ep4 train loss 0.7546 acc 0.0054 | val 头内Δacc +0.0062 **全局Δacc +0.0134** | alpha 0.9990
  ep5 train loss 0.7522 acc 0.0078 | val 头内Δacc +0.0081 **全局Δacc +0.0131** | alpha 0.9990
  ep6 train loss 0.7489 acc 0.0093 | val 头内Δacc +0.0097 **全局Δacc +0.0134** | alpha 0.9990
  ep7 train loss 0.7448 acc 0.0118 | val 头内Δacc +0.0143 **全局Δacc +0.0130** | alpha 0.9990
  ep8 train loss 0.7428 acc 0.0135 | val 头内Δacc +0.0120 **全局Δacc +0.0133** | alpha 0.9990
  ep9 train loss 0.7406 acc 0.0132 | val 头内Δacc +0.0125 **全局Δacc +0.0126** | alpha 0.9990
  ep10 train loss 0.7387 acc 0.0137 | val 头内Δacc +0.0136 **全局Δacc +0.0134** | alpha 0.9990
  ep11 train loss 0.7362 acc 0.0150 | val 头内Δacc +0.0147 **全局Δacc +0.0143** | alpha 0.9990
