训练 23 篇 / 验证 7 篇

=== memoryless　参数 53.4K ===
  ep0 train loss 0.6810 acc 0.0106 | val 头内Δacc +0.0138 **全局Δacc +0.0073** | alpha 0.9990
  ep1 train loss 0.6794 acc 0.0140 | val 头内Δacc +0.0160 **全局Δacc +0.0096** | alpha 0.9990
  ep2 train loss 0.6786 acc 0.0158 | val 头内Δacc +0.0169 **全局Δacc +0.0108** | alpha 0.9990
  ep3 train loss 0.6776 acc 0.0162 | val 头内Δacc +0.0168 **全局Δacc +0.0111** | alpha 0.9990
  ep4 train loss 0.6780 acc 0.0157 | val 头内Δacc +0.0160 **全局Δacc +0.0109** | alpha 0.9990
  ep5 train loss 0.6776 acc 0.0155 | val 头内Δacc +0.0157 **全局Δacc +0.0113** | alpha 0.9990
  ep6 train loss 0.6770 acc 0.0149 | val 头内Δacc +0.0154 **全局Δacc +0.0115** | alpha 0.9990
  ep7 train loss 0.6769 acc 0.0149 | val 头内Δacc +0.0154 **全局Δacc +0.0120** | alpha 0.9990
  ep8 train loss 0.6765 acc 0.0148 | val 头内Δacc +0.0152 **全局Δacc +0.0126** | alpha 0.9990
  ep9 train loss 0.6759 acc 0.0148 | val 头内Δacc +0.0152 **全局Δacc +0.0132** | alpha 0.9990
  ep10 train loss 0.6762 acc 0.0151 | val 头内Δacc +0.0152 **全局Δacc +0.0139** | alpha 0.9990
  ep11 train loss 0.6757 acc 0.0154 | val 头内Δacc +0.0152 **全局Δacc +0.0144** | alpha 0.9990
  ep12 train loss 0.6748 acc 0.0155 | val 头内Δacc +0.0154 **全局Δacc +0.0138** | alpha 0.9990
  ep13 train loss 0.6738 acc 0.0159 | val 头内Δacc +0.0160 **全局Δacc +0.0149** | alpha 0.9990
  ep14 train loss 0.6728 acc 0.0168 | val 头内Δacc +0.0166 **全局Δacc +0.0145** | alpha 0.9990
  ep15 train loss 0.6719 acc 0.0165 | val 头内Δacc +0.0171 **全局Δacc +0.0147** | alpha 0.9990
  ep16 train loss 0.6713 acc 0.0179 | val 头内Δacc +0.0176 **全局Δacc +0.0145** | alpha 0.9990
  ep17 train loss 0.6695 acc 0.0187 | val 头内Δacc +0.0183 **全局Δacc +0.0147** | alpha 0.9990
  ep18 train loss 0.6686 acc 0.0182 | val 头内Δacc +0.0149 **全局Δacc +0.0145** | alpha 0.9990
  ep19 train loss 0.6679 acc 0.0169 | val 头内Δacc +0.0175 **全局Δacc +0.0145** | alpha 0.9990
  ep20 train loss 0.6673 acc 0.0191 | val 头内Δacc +0.0189 **全局Δacc +0.0145** | alpha 0.9990
  ep21 train loss 0.6663 acc 0.0204 | val 头内Δacc +0.0198 **全局Δacc +0.0143** | alpha 0.9990
  ep22 train loss 0.6651 acc 0.0215 | val 头内Δacc +0.0206 **全局Δacc +0.0153** | alpha 0.9990
  ep23 train loss 0.6640 acc 0.0222 | val 头内Δacc +0.0210 **全局Δacc +0.0158** | alpha 0.9990
  ep24 train loss 0.6639 acc 0.0223 | val 头内Δacc +0.0204 **全局Δacc +0.0153** | alpha 0.9990
  ep25 train loss 0.6623 acc 0.0226 | val 头内Δacc +0.0218 **全局Δacc +0.0158** | alpha 0.9990
  ep26 train loss 0.6623 acc 0.0236 | val 头内Δacc +0.0222 **全局Δacc +0.0161** | alpha 0.9990
  ep27 train loss 0.6618 acc 0.0235 | val 头内Δacc +0.0205 **全局Δacc +0.0156** | alpha 0.9990
  ep28 train loss 0.6615 acc 0.0220 | val 头内Δacc +0.0208 **全局Δacc +0.0153** | alpha 0.9990
  ep29 train loss 0.6605 acc 0.0233 | val 头内Δacc +0.0223 **全局Δacc +0.0158** | alpha 0.9990
  ep30 train loss 0.6603 acc 0.0241 | val 头内Δacc +0.0228 **全局Δacc +0.0154** | alpha 0.9990
  ep31 train loss 0.6599 acc 0.0237 | val 头内Δacc +0.0215 **全局Δacc +0.0155** | alpha 0.9990
  ep32 train loss 0.6591 acc 0.0247 | val 头内Δacc +0.0232 **全局Δacc +0.0153** | alpha 0.9990
  ep33 train loss 0.6586 acc 0.0254 | val 头内Δacc +0.0232 **全局Δacc +0.0153** | alpha 0.9990
  ep34 train loss 0.6586 acc 0.0249 | val 头内Δacc +0.0227 **全局Δacc +0.0157** | alpha 0.9990
  ep35 train loss 0.6579 acc 0.0238 | val 头内Δacc +0.0215 **全局Δacc +0.0158** | alpha 0.9990
  ep36 train loss 0.6575 acc 0.0236 | val 头内Δacc +0.0216 **全局Δacc +0.0162** | alpha 0.9990
  ep37 train loss 0.6569 acc 0.0234 | val 头内Δacc +0.0216 **全局Δacc +0.0158** | alpha 0.9990
  ep38 train loss 0.6568 acc 0.0241 | val 头内Δacc +0.0221 **全局Δacc +0.0163** | alpha 0.9990
  ep39 train loss 0.6565 acc 0.0238 | val 头内Δacc +0.0217 **全局Δacc +0.0154** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0217   全局 +0.0154
==============================================================================
