训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep12 train loss 0.6801 acc 0.0044 | val 头内Δacc +0.0049 **全局Δacc -0.0017** | alpha 0.0519
  ep13 train loss 0.6793 acc 0.0045 | val 头内Δacc +0.0049 **全局Δacc -0.0021** | alpha 0.0521
  ep14 train loss 0.6797 acc 0.0045 | val 头内Δacc +0.0049 **全局Δacc -0.0021** | alpha 0.0522
  ep15 train loss 0.6800 acc 0.0044 | val 头内Δacc +0.0049 **全局Δacc -0.0017** | alpha 0.0524
  ep16 train loss 0.6802 acc 0.0046 | val 头内Δacc +0.0050 **全局Δacc -0.0017** | alpha 0.0525
  ep17 train loss 0.6799 acc 0.0047 | val 头内Δacc +0.0051 **全局Δacc -0.0017** | alpha 0.0527
  ep18 train loss 0.6781 acc 0.0048 | val 头内Δacc +0.0051 **全局Δacc -0.0014** | alpha 0.0528
  ep19 train loss 0.6798 acc 0.0050 | val 头内Δacc +0.0051 **全局Δacc -0.0017** | alpha 0.0530
  ep20 train loss 0.6785 acc 0.0050 | val 头内Δacc +0.0052 **全局Δacc -0.0017** | alpha 0.0531
  ep21 train loss 0.6811 acc 0.0051 | val 头内Δacc +0.0051 **全局Δacc -0.0014** | alpha 0.0533
  ep22 train loss 0.6791 acc 0.0050 | val 头内Δacc +0.0048 **全局Δacc -0.0014** | alpha 0.0534
  ep23 train loss 0.6790 acc 0.0045 | val 头内Δacc +0.0036 **全局Δacc -0.0014** | alpha 0.0536
  ep24 train loss 0.6803 acc 0.0034 | val 头内Δacc +0.0019 **全局Δacc -0.0014** | alpha 0.0537
  ep25 train loss 0.6792 acc 0.0025 | val 头内Δacc +0.0015 **全局Δacc -0.0011** | alpha 0.0539
  ep26 train loss 0.6799 acc 0.0026 | val 头内Δacc +0.0019 **全局Δacc -0.0008** | alpha 0.0540
  ep27 train loss 0.6794 acc 0.0025 | val 头内Δacc +0.0017 **全局Δacc -0.0008** | alpha 0.0542
  ep28 train loss 0.6778 acc 0.0025 | val 头内Δacc +0.0018 **全局Δacc -0.0008** | alpha 0.0543
  ep29 train loss 0.6792 acc 0.0028 | val 头内Δacc +0.0019 **全局Δacc -0.0008** | alpha 0.0545
  ep30 train loss 0.6790 acc 0.0028 | val 头内Δacc +0.0019 **全局Δacc -0.0008** | alpha 0.0546
